Barcelona , Manchester United,group,"Camp Nou, Barcelona",4,0,1994-11-02 20:30:00+01:00
Galatasaray , IFK Göteborg,group,"Ali Sami Yen Stadium, Istanbul",0,1,1994-11-02 21:30:00+01:00
Galatasaray , Barcelona,group,"Ali Sami Yen Stadium, Istanbul",2,1,1994-11-23 21:30:00+01:00
IFK Göteborg , Manchester United,group,"Ullevi, Gothenburg",3,1,1994-11-23 20:30:00+01:00
Barcelona , IFK Göteborg,group,"Camp Nou, Barcelona",1,1,1994-12-07 20:30:00+01:00
Manchester United , Galatasaray,group,"Old Trafford, Manchester",4,0,1994-12-07 19:30:00+01:00
Dynamo Kyiv , Spartak Moscow,group,"Respublikanskiy Stadium, Kyiv",3,2,1994-09-14 21:30:00+02:00
Paris Saint-Germain , Bayern Munich,group,"Parc des Princes, Paris",2,0,1994-09-14 20:30:00+02:00
Bayern Munich , Dynamo Kyiv,group,"Olympiastadion, Munich",1,0,1994-09-28 20:30:00+01:00
Spartak Moscow , Paris Saint-Germain,group,"Luzhniki Stadium, Moscow",1,2,1994-09-28 19:15:00+01:00
Dynamo Kyiv , Paris Saint-Germain,group,"Respublikanskiy Stadium, Kyiv",1,2,1994-10-19 21:30:00+01:00
Spartak Moscow , Bayern Munich,group,"Luzhniki Stadium, Moscow",1,1,1994-10-19 19:15:00+01:00
Bayern Munich , Spartak Moscow,group,"Olympiastadion, Munich",2,2,1994-11-02 20:30:00+01:00
Paris Saint-Germain , Dynamo Kyiv,group,"Parc des Princes, Paris",1,0,1994-11-02 20:30:00+01:00
Bayern Munich , Paris Saint-Germain,group,"Olympiastadion, Munich",0,1,1994-11-23 20:30:00+01:00
Spartak Moscow , Dynamo Kyiv,group,"Luzhniki Stadium, Moscow",1,0,1994-11-23 18:00:00+01:00
Dynamo Kyiv , Bayern Munich,group,"Respublikanskiy Stadium, Kiev",1,4,1994-12-07 21:30:00+01:00
Paris Saint-Germain , Spartak Moscow,group,"Parc des Princes, Paris",4,1,1994-12-07 20:30:00+01:00
Anderlecht , Steaua București,group,"Constant Vanden Stock Stadium, Brussels",0,0,1994-09-14 20:30:00+02:00
